date,recovered,detected,deaths,active,average2,average3,average4,daily,daily_average7,daily_average14,corrections,comment,avg_mobility,average,detections
02/03/2020,0,0,,0,0,0,0,0,,,0,,101.49,1.01,0
03/03/2020,0,0,,0,0,0,0,0,,,0,,102.89,1.03,0
04/03/2020,0,0,,0,0,0,0,0,,,0,,100.62,1.01,0
05/03/2020,0,0,,0,0,0,0,0,,,0,,108.61,1.09,0
06/03/2020,0,1,,1,0.5,0.333333333,0.25,1,,,0,,120.56,1.21,1
07/03/2020,0,1,,1,1,0.666666667,0.5,0,,,0,,102.89,1.03,1
08/03/2020,0,2,,2,1.5,1.333333333,1,1,0.285714285714286,,0,,101.06,1.01,2
09/03/2020,0,3,,3,2.5,2,1.75,1,0.428571428571429,,0,,95.57,0.96,3
10/03/2020,0,4,,4,3.5,3,2.5,1,0.571428571428571,,0,,93.39,0.93,4
11/03/2020,0,4,,4,4,3.666666667,3.25,0,0.571428571428571,,0,,87.1,0.9,4
12/03/2020,0,7,,7,5.5,5,4.5,3,1,,0,,82.4,0.8,7
13/03/2020,0,8,,8,7.5,6.333333333,5.75,1,1,,0,,71.69,0.72,8
14/03/2020,0,13,,13,10.5,9.333333333,8,5,1.71428571428571,,0,,62.67,0.63,13
15/03/2020,0,15,,15,14,12,10.75,2,1.85714285714286,1.07142857142857,0,,47.01,0.47,15
16/03/2020,0,27,,27,21,18.33333333,15.75,12,3.42857142857143,1.92857142857143,0,,49.03,0.49,27
17/03/2020,0,38,,38,32.5,26.66666667,23.25,11,4.85714285714286,2.71428571428571,0,,47.57,0.48,38
18/03/2020,0,40,,40,39,35,30,2,5.14285714285714,2.85714285714286,0,,46.8,0.5,40
19/03/2020,0,53,,53,46.5,43.66666667,39.5,13,6.57142857142857,3.78571428571429,0,,45.59,0.46,53
20/03/2020,0,58,,58,55.5,50.33333333,47.25,5,7.14285714285714,4.07142857142857,0,,42.47,0.42,58
21/03/2020,0,66,,66,62,59,54.25,8,7.57142857142857,4.64285714285714,0,,34.67,0.35,66
22/03/2020,0,79,,79,72.5,67.66666667,64,13,9.14285714285714,5.5,0,,32.27,0.32,79
23/03/2020,0,101,,101,90,82,76,22,10.5714285714286,7,0,,37.81,0.38,101
24/03/2020,0,134,,134,117.5,104.6666667,95,33,13.7142857142857,9.28571428571429,0,,38.82,0.39,134
25/03/2020,0,150,,150,142,128.3333333,116,16,15.7142857142857,10.4285714285714,0,,37.17,0.37,150
26/03/2020,0,165,,165,157.5,149.6666667,137.5,15,16,11.2857142857143,0,,38.33,0.38,165
27/03/2020,0,193,,193,179,169.3333333,160.5,28,19.2857142857143,13.2142857142857,0,,37.78,0.38,193
28/03/2020,0,214,,214,203.5,190.6666667,180.5,21,21.1428571428571,14.3571428571429,0,,37.76,0.38,214
29/03/2020,0,234,,234,224,213.6666667,201.5,20,22.1428571428571,15.6428571428571,0,,30.6,0.3,234
30/03/2020,0,258,,258,246,235.3333333,224.75,24,22.4285714285714,16.5,0,,37.22,0.37,258
31/03/2020,0,274,,274,266,255.3333333,245,16,20,16.8571428571429,0,,37.08,0.37,274
01/04/2020,0,326,,326,300,286,273,52,25.1428571428571,20.4285714285714,0,,36.96,0.37,326
02/04/2020,0,338,,338,332,312.6666667,299,12,24.7142857142857,20.3571428571429,0,,35.95,0.36,338
